ID;Sex;Age;Height;Weight;NOC;Year;Sport;Medal
52892;M;24;177;85;SWE;1988;Ice Hockey;Bronze
52916;M;29;175;80;USA;2002;Luge;Bronze
53023;M;22;175;73;USA;2006;Short Track Speed Skating;Bronze
53171;M;23;179;70;GDR;1984;Biathlon;Bronze
53178;F;20;168;64;USA;2006;Snowboarding;Silver
53186;M;28;180;81;CAN;2014;Curling;Gold
53205;M;24;173;59;NOR;2010;Ski Jumping;Bronze
53313;M;25;178;89;NOR;1992;Alpine Skiing;Gold
53325;M;25;189;102;CZE;1998;Ice Hockey;Gold
53325;M;33;189;102;CZE;2006;Ice Hockey;Bronze
53350;F;20;176;59;NOR;1984;Cross Country Skiing;Bronze
53350;F;20;176;59;NOR;1984;Cross Country Skiing;Gold
53350;F;24;176;59;NOR;1988;Cross Country Skiing;Silver
53383;M;22;185;66;GER;1994;Ski Jumping;Gold
53383;M;26;185;66;GER;1998;Ski Jumping;Silver
53388;M;23;200;113;GER;1998;Bobsleigh;Gold
53408;M;41;174;73;FIN;1924;Figure Skating;Silver
53409;F;39;165;58;FIN;1924;Figure Skating;Silver
